"FUNCTION"	"Description"
"1"	"help.census()"	"List all the functions and description in the package."
"2"	"download(directory)"	"Download all the census into local space."
"3"	"table.codes()"	"Output all the table codes for user."
"4"	"table.cells(table_code)"	"Output all the columns codes for special table code."
"5"	"area.lookup(...)"	"Captures the relevant area for the number of level."
"6"	"meta.table(table_code)"	"Captures the relevant metadata of table code."
"7"	"meta.cells(...)"	"Captures the relevant metadata of column code."
"8"	"input.cells(table_code,range_of_number)"	"Get some columns by input code of table and range of number."
"9"	"output.cells(list(funs_parameters))"	"Output columns by setting some manipulation of input.columns."
"10"	"extract.table(...)"	"Extract the sub-table and output it or aggregation."
